item,freq
我,854
你,593
不,586
是,472
的,444
好,418
没,397
么,380
有,310
说,269
吗,263
用,224
这,211
行,200
嗯,199
在,195
个,192
怎,189
什,178
一,176
吧,175
哦,153
那,142
要,130
办,129
打,123
们,115
话,115
听,112
下,111
可,103
以,102
再,101
哪,99
到,99
费,98
对,98
给,95
时,95
现,93
会,93
过,90
还,85
问,81
几,79
电,78
收,75
想,74
钱,72
能,70
里,67
等,66
就,64
号,61
理,60
来,60
活,59
开,58
嘞,57
知,57
信,56
g,55
啥,55
动,53
事,53
道,53
间,53
4,51
请,50
业,50
公,49
修,49
谢,49
人,48
机,48
卡,48
清,46
都,45
司,44
期,44
流,44
手,43
意,43
多,41
去,41
需,41
激,41
看,40
准,40
很,40
量,39
边,39
务,37
上,36
如,35
车,35
明,35
自,34
码,34
错,34
已,33
十,33
样,33
太,32
后,32
见,32
款,32
题,31
息,31
分,31
白,31
得,30
利,30
何,30
联,30
经,29
忙,29
烦,29
儿,29
找,28
干,28
客,28
思,28
通,27
宽,26
解,26
别,26
接,26
他,25
取,25
系,25
带,25
服,25
消,24
地,24
方,24
喂,23
移,23
楚,23
点,22
正,22
讲,22
嘛,22
二,22
安,22
送,22
谁,22
套,21
餐,21
遍,21
己,21
使,20
算,20
付,20
刚,20
天,20
懂,19
前,19
网,19
申,18
果,18
充,18
零,18
家,17
考,17
虑,17
改,17
买,17
房,17
介,17
绍,17
回,17
游,16
戏,16
最,16
把,16
记,16
才,16
着,16
该,15
重,15
常,15
提,15
本,15
先,14
复,14
真,14
无,14
率,14
高,14
址,14
八,14
按,14
然,14
少,14
做,14
也,13
告,13
空,13
四,13
转,13
苹,13
挂,13
幺,13
交,13
作,13
稍,13
忘,13
为,13
快,13
差,13
法,13
情,12
免,12
确,12
保,12
续,12
关,12
发,12
官,12
门,12
卓,12
直,12
暂,12
三,12
便,12
认,11
应,11
跟,11
主,11
补,11
月,11
缴,11
弄,11
识,10
其,10
从,10
预,10
测,10
候,10
诉,10
细,10
专,10
查,10
出,10
端,10
牌,10
面,10
产,10
张,10
式,10
够,9
拿,9
名,9
内,9
老,9
玩,9
五,9
呗,9
腾,9
讯,9
扣,9
支,9
反,9
麻,9
询,9
险,9
位,9
起,9
职,9
种,9
报,8
换,8
省,8
详,8
新,8
花,8
慢,8
代,8
因,8
噢,8
金,8
件,8
户,8
失,8
试,8
约,8
装,8
拜,8
维,8
操,8
聊,8
扰,7
兴,7
趣,7
近,7
长,7
继,7
帮,7
定,7
东,7
贵,7
加,7
叫,7
中,7
觉,7
但,7
原,7
催,7
求,7
抵,7
押,7
六,7
丢,7
班,7
子,7
处,7
体,7
岁,7
工,6
西,6
非,6
贷,6
走,6
合,6
银,6
咋,6
哈,6
置,6
姓,6
些,6
键,6
线,6
程,6
又,6
？,6
及,6
穷,6
抱,6
歉,6
区,6
拒,6
绝,6
签,6
密,6
感,6
吃,6
成,6
满,6
管,5
气,5
挺,5
字,5
同,5
短,5
i,5
p,5
h,5
o,5
n,5
e,5
目,5
它,5
限,5
妈,5
额,5
类,5
外,5
积,5
否,5
优,5
惠,5
设,5
答,5
败,5
头,5
被,5
住,5
软,5
品,5
七,5
之,5
释,5
参,5
次,5
功,5
具,5
更,5
兆,5
哼,5
朋,5
友,5
完,5
股,4
票,4
结,4
喜,4
欢,4
障,4
止,4
角,4
色,4
微,4
推,4
大,4
段,4
载,4
必,4
饭,4
态,4
度,4
注,4
声,4
音,4
退,4
块,4
每,4
返,4
唉,4
赠,4
底,4
骚,4
愿,4
员,4
沟,4
当,4
余,4
咨,4
比,4
脑,4
拨,4
轻,4
备,4
覆,4
盖,4
借,4
纳,4
小,4
男,4
供,4
数,4
未,3
晚,3
久,3
像,3
年,3
难,3
身,3
国,3
版,3
荐,3
马,3
搞,3
师,3
傅,3
总,3
部,3
表,3
哟,3
喽,3
册,3
启,3
偶,3
尔,3
远,3
条,3
格,3
达,3
吵,3
滚,3
称,3
路,3
哇,3
值,3
评,3
肯,3
较,3
靠,3
入,3
谈,3
午,3
所,3
急,3
终,3
商,3
顾,3
领,3
足,3
况,3
单,3
百,3
故,2
倒,2
让,2
万,2
于,2
截,2
社,2
傻,2
宝,2
型,2
山,2
建,2
源,2
千,2
销,2
进,2
，,2
九,2
邮,2
汕,2
呼,2
放,2
订,2
实,2
示,2
停,2
环,2
境,2
访,2
坏,2
口,2
谱,2
婚,2
生,2
女,2
凑,2
盗,2
学,2
辆,2
乎,2
价,2
奖,2
励,2
狗,2
决,2
讨,2
厌,2
伙,2
叻,2
途,2
鬼,2
性,2
全,2
狠,2
平,2
半,2
计,2
热,2
亲,2
投,2
光,2
效,2
教,2
病,2
束,1
拉,1
勇,1
购,1
资,1
绑,1
闲,1
概,1
超,1
市,1
逼,1
图,1
和,1
曾,1
呆,1
尽,1
隐,1
形,1
早,1
挡,1
核,1
杂,1
泄,1
露,1
楼,1
蛮,1
瞎,1
眼,1
距,1
离,1
贬,1
只,1
受,1
误,1
农,1
村,1
象,1
